X(E/m),Y(N/m)
330363.646921393228695,4156710.056145522743464
330363.514617544482462,4156710.069948892109096
330363.452769965806510,4156710.071212348528206
330363.391149061848409,4156710.083571768831462
330363.338363528251648,4156710.095750695560127
330363.276742624584585,4156710.108110115863383
330363.215121723362245,4156710.120469536632299
330363.153274145035539,4156710.121732995845377
330363.020743622444570,4156710.124440411105752
330362.941451983293518,4156710.137160822749138
330362.827045547775924,4156710.161699175368994
330362.756589277298190,4156710.174239096231759
330362.677070963196456,4156710.175863547716290
330362.553602485102601,4156710.189486436545849
330362.483146217186004,4156710.202026358339936
330362.421525315265171,4156710.214385784696788
330362.359904413460754,4156710.226745212916285
330362.227600568439811,4156710.240548601839691
330362.095296723709907,4156710.254351993091404
330362.033675824874081,4156710.266711423173547
330361.971828247187659,4156710.267974891234189
330361.892309933784418,4156710.269599351100624
330361.769294811529107,4156710.305414176546037
330361.636990968137980,4156710.319217575248331
330361.504687122942414,4156710.333020976744592
330361.443066225270741,4156710.345380410552025
330361.372609957703389,4156710.357920342124999
330361.310989058169071,4156710.370279777329415
330361.240306115534622,4156710.371723747346550
330361.116837639303412,4156710.385346659459174
330361.046381374646444,4156710.397886592429131
330360.984760475694202,4156710.410246030427516
330360.923139579244889,4156710.422605468891561
330360.852683312841691,4156710.435145404189825
330360.729441518371459,4156710.459864283446223
330360.667820620234124,4156710.472223722841591
330360.605973046040162,4156710.473487202078104
330360.535290101892315,4156710.474931177683175
330360.473669206374325,4156710.487290618941188
330360.412274987436831,4156710.510746023617685
330360.288579837302677,4156710.513272983953357
330360.147667307639495,4156710.538352867122740
330360.086046412936412,4156710.550712311174721
330359.962804619688541,4156710.575431203003973
330359.900957046076655,4156710.576694686897099
330359.830500782001764,4156710.589234631042928
330359.768653208564501,4156710.590498115401715
330359.645184736698866,4156710.604121047072113
330359.565666428010445,4156710.605745529755950
330359.451260004192591,4156710.630283929873258
330359.319182848092169,4156710.655183329246938
330359.257335275004152,4156710.656446816865355
330359.142702174431179,4156710.669889259152114
330359.072245912044309,4156710.682429209817201
330359.010398336802609,4156710.683692699763924
330358.957612811936997,4156710.695871653966606
330358.895765236811712,4156710.697135145775974
330358.834144344669767,4156710.709494599141181
330358.763461402035318,4156710.710938590113074
330358.701840510184411,4156710.723298046737909
330358.639992935117334,4156710.724561539944261
330358.516751149785705,4156710.749280451796949
330358.384447316115256,4156710.763083903118968
330358.322599741281010,4156710.764347398187965
330358.199131275527179,4156710.777970353607088
330358.137510382512119,4156710.790329812560230
330358.075889489671681,4156710.802689272444695
330358.005206549889408,4156710.804133269470185
