X(E/m),Y(N/m)
330294.821080917085055,4156622.446756743360311
330294.756965071079321,4156622.337061070837080
330294.694663300993852,4156622.316133093554527
330294.640970234642737,4156622.283928591758013
330294.578441706020385,4156622.251904652453959
330294.453611405333504,4156622.198952740989625
330294.382247408793774,4156622.167109367437661
330294.328781102900393,4156622.146000829059631
330294.239972937619314,4156622.125614549033344
330294.169289221637882,4156622.127059063408524
330294.107214209157974,4156622.117227053269744
330293.982837424962781,4156622.086467070970684
330293.885647315764800,4156622.088453282136470
330293.797292673029006,4156622.090258930809796
330293.717773492331617,4156622.091884014662355
330293.611747918883339,4156622.094050793442875
330293.434811867249664,4156622.086566133890301
330293.390861305291764,4156622.098564920946956
330293.391995113925077,4156622.154044731520116
330293.321084638359025,4156622.144393290858716
330293.232503231964074,4156622.135102983098477
330293.162046279991046,4156622.147643468342721
330293.055340420454741,4156622.116522369906306
330292.975367715291213,4156622.095955536700785
330292.877950843423605,4156622.086845796555281
330292.825164817739278,4156622.099025154951960
330292.754254338622559,4156622.089373718481511
330292.754481101175770,4156622.100469680968672
330292.780987496313173,4156622.099927983712405
330292.666126458207145,4156622.102275341283530
330292.551265420101117,4156622.104622700251639
330292.463364300783724,4156622.128620286006480
330292.375009655719623,4156622.130425947718322
330292.277819546405226,4156622.132412178441882
330292.180856200400740,4156622.145494371186942
330292.101337019703351,4156622.147119470871985
330291.968124762643129,4156622.116540085524321
330291.905596219119616,4156622.084516166709363
330291.878863062302116,4156622.073961906135082
330291.737722394289449,4156622.087946937885135
330291.587065967614762,4156622.068824654910713
330291.516382252681069,4156622.070269193034619
330291.427574077970348,4156622.049882940948009
330291.294588578399271,4156622.030399529263377
330291.144839210319333,4156622.055661101359874
330291.057391623384319,4156622.101850624196231
330290.995996902754996,4156622.125306522473693
330290.881135864183307,4156622.127653904724866
330290.775563820265234,4156622.152012644801289
330290.714395863818936,4156622.186564507894218
330290.617205754388124,4156622.188550757244229
330290.510953415185213,4156622.179621614050120
330290.422825535701122,4156622.192523260135204
330290.343306354829110,4156622.194148376118392
330290.264013942156453,4156622.206869455054402
330290.149152904341463,4156622.209216847084463
330290.061025025497656,4156622.222118497360498
330289.946390751865692,4156622.235561852809042
330289.849880944413599,4156622.270835998002440
330289.753371135448106,4156622.306110142730176
330289.647799096419476,4156622.330468896776438
330289.560124753159471,4156622.365562477614731
330289.454325948201586,4156622.378825271967798
330289.348753910744563,4156622.403184029273689
330289.278750497382134,4156622.437916472088546
330289.208747084601782,4156622.472648915834725
330289.138290139788296,4156622.485189435537905
330289.050162264844403,4156622.498091095127165
330288.998056548996828,4156622.543558362405747
330288.936661836691201,4156622.567014276981354
330288.848307195003144,4156622.568819977808744
330288.778077019320335,4156622.592456462793052
330288.689949145889841,4156622.605358127038926
330288.575541646918282,4156622.629897464066744
330288.496476008556783,4156622.653714521788061
330288.408574904548004,4156622.677712151780725
330288.320673800830264,4156622.701709781773388
330288.223937233968172,4156622.725887984503061
330288.118365203670692,4156622.750246758107096
330288.021628637798131,4156622.774424961768091
330287.951398465782404,4156622.798061454668641
330287.890230524761137,4156622.832613337785006
330287.820000351348426,4156622.856249830219895
330287.740707947581541,4156622.868970934767276
330287.679313238535542,4156622.892426858656108
330287.608856296632439,4156622.904967391397804
330287.511892964015715,4156622.918049638625234
330287.441436022636481,4156622.930590173695236
330287.335410456988029,4156622.932757033035159
330287.229838431463577,4156622.957115818746388
330287.115204175002873,4156622.970559215173125
330287.036592081596609,4156623.016568210907280
330286.948464214394335,4156623.029469894710928
330286.833603186416440,4156623.031817333772779
330286.718968929024413,4156623.045260735787451
330286.648738760268316,4156623.068897239398211
330286.587117284419946,4156623.081257208250463
330286.525495811016299,4156623.093617178034037
330286.472256256907713,4156623.083604651503265
330286.383901619818062,4156623.085410378407687
330286.322280146705452,4156623.097770349588245
330286.278556369594298,4156623.120865138713270
330286.189974963723216,4156623.111574904527515
330286.083722628420219,4156623.102645819541067
330285.978150607785210,4156623.127004620619118
330285.898631434480194,4156623.128629778977484
330285.792832642793655,4156623.141892622690648
330285.687260623264592,4156623.166251425631344
330285.590297295595519,4156623.179333698004484
330285.493333968101069,4156623.192415969446301
330285.369637478259392,4156623.194944002665579
330285.272674151172396,4156623.208026276901364
330285.193381751130801,4156623.220747405197471
330285.122698044055142,4156623.222191996872425
330285.042952098418027,4156623.212721202988178
330284.945988771854900,4156623.225803480949253
330284.849025445524603,4156623.238885759375989
330284.751608572900295,4156623.229776117485017
330284.671862626681104,4156623.220305325463414
330284.565156742813997,4156623.189184334594756
330284.459357952990104,4156623.202447193674743
330284.362621400738135,4156623.226625441573560
330284.265431301028002,4156623.228611765895039
330284.150343500252347,4156623.219863279256970
330284.044317936932202,4156623.222030181903392
330283.947127836989239,4156623.224016509018838
330283.850164511648472,4156623.237098800949752
330283.770872115564998,4156623.249819942284375
330283.682290702243336,4156623.240529737435281
330283.593709293170832,4156623.231239530723542
330283.523252358427271,4156623.243780098855495
330283.452795426128432,4156623.256320667453110
330283.382111716549844,4156623.257765274494886
330283.293757080275100,4156623.259571034926921
330283.213784356485121,4156623.239004294387996
330283.116367480950430,4156623.229894671123475
330283.028239622130059,4156623.242796395905316
330282.931049519684166,4156623.244782735127956
330282.842694885272067,4156623.246588499750942
330282.745731561211869,4156623.259670804720372
330282.648314684978686,4156623.250561185646802
330282.551351361209527,4156623.263643492478877
330282.463450277340598,4156623.287641183938831
330282.375322417472489,4156623.300542916636914
330282.287194557837211,4156623.313444648869336
330282.225573090836406,4156623.325804649852216
330282.154889381490648,4156623.327249268535525
330282.075596985756420,4156623.339970426633954
330282.004913278797176,4156623.341415045782924
330281.934229569509625,4156623.342859665397555
330281.837266247486696,4156623.355941980611533
330281.740076148184016,4156623.357928335200995
330281.652175067225471,4156623.381926035042852
330281.564273986790795,4156623.405923738144338
330281.449186183628626,4156623.397175290156156
330281.361285106046125,4156623.421172994188964
330281.273157246469054,4156623.434074738528579
330281.176420706324279,4156623.458253022748977
330281.079457386338618,4156623.471335347276181
330280.991329529788345,4156623.484237093944103
330280.912263915175572,4156623.508054225239903
330280.841806985612493,4156623.520594814792275
330280.753452353354078,4156623.522400602698326
330280.692057666077744,4156623.545856577344239
330280.621373958187178,4156623.547301207669079
330280.541628010338172,4156623.537830456625670
330280.462335618212819,4156623.550551630556583
330280.391651910380460,4156623.551996261812747
330280.303750834660605,4156623.575993979349732
330280.206560737336986,4156623.577980351634324
330280.109370640013367,4156623.579966725315899
330280.012407324626110,4156623.593049061484635
330279.907062103739008,4156623.628503902815282
330279.783138835220598,4156623.619936056435108
330279.685721958056092,4156623.610826471820474
330279.597594106628094,4156623.623728233389556
330279.518528496613726,4156623.647545379120857
330279.439009326160885,4156623.649170600343496
330279.359490155649837,4156623.650795821566135
330279.280197768122889,4156623.663517006672919
330279.192296696070116,4156623.687514734920114
330279.113004306796938,4156623.700235920492560
330279.042320599779487,4156623.701680565252900
330278.962801429617684,4156623.703305790200830
330278.865611333225388,4156623.705292177852243
330278.751203873427585,4156623.729831653647125
330278.654013777384534,4156623.731818043626845
330278.556823683495168,4156623.733804435469210
330278.460087150859181,4156623.757982751820236
330278.363123836810701,4156623.771065107546747
330278.266160523053259,4156623.784147464670241
330278.169197209586855,4156623.797229822725058
330278.089904822350945,4156623.809951019007713
330278.002003754721954,4156623.833948760759085
330277.834583518502768,4156623.859571738168597
330277.755064351717010,4156623.861196975689381
330277.675998748338316,4156623.885014137253165
330277.596479579573497,4156623.886639377102256
330277.507898166892119,4156623.877349236514419
330277.410934853018261,4156623.890431603416800
330277.296073832199909,4156623.892779174260795
330277.208172769634984,4156623.916776924394071
330277.110755891422741,4156623.907667369581759
330277.013565796660259,4156623.909653778653592
330276.916602485813200,4156623.922736153006554
330276.810576928313822,4156623.924903148319572
330276.713840401906054,4156623.949081484228373
330276.634321233374067,4156623.950706732459366
330276.554575280460995,4156623.941236018203199
330276.484571930253878,4156623.975968571379781
330276.432012719684280,4156623.999243997037411
330276.370391264092177,4156624.011604041792452
