X(E/m),Y(N/m)
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301348212640733,4156712.804695926606655
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301121512195095,4156712.793599965050817
330344.301348212640733,4156712.804695926606655
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301121512195095,4156712.793599965050817
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.310183578461874,4156712.804515411611646
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.310183578461874,4156712.804515411611646
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.301348212640733,4156712.804695926606655
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.309956878074445,4156712.793419450055808
330344.310183578461874,4156712.804515411611646
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.310183578461874,4156712.804515411611646
330344.309956878074445,4156712.793419450055808
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.310183578461874,4156712.804515411611646
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.301121512195095,4156712.793599965050817
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
330344.309956878074445,4156712.793419450055808
